Title,Type,Area,Latitude,Longitude,Coordinates,Price(CZK)
"Byt 1+kk 40 m² k prodeji Rohanské nábřeží, Praha - Karlín; 5 769 000 Kč (Uvedená cena je včetně DPH, možnost přikoupení parkovacího stání od 575 000,-.), výtah, bezbariérový, skeletová stavba, osobní vlastnictví, novostavby.",1+kk,40,50.0953,14.4535,"(50.0954, 14.4536)",5769000
"Byt 4+1 120 m² k prodeji Krupská, Praha - Strašnice; 9 850 000 Kč, lodžie, parkovací místo, výtah, cihlová stavba, osobní vlastnictví, v dobrém stavu.",4+1,120,50.0685,14.4971,"(50.0686, 14.4971)",9850000
"Byt 2+1 60 m² k prodeji Žitomírská, Praha 10 - Vršovice; 5 990 000 Kč, cihlová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+1,60,50.0701,14.4569,"(50.0701, 14.457)",5990000
"Byt 2+1 59 m² k prodeji Bělocerkevská, Praha 10 - Vršovice; 5 610 000 Kč, parkovací místo, výtah, cihlová stavba, osobní vlastnictví, v dobrém stavu.",2+1,59,50.0711,14.4703,"(50.0711, 14.4703)",5610000
"Byt 4+kk 109 m² k prodeji Praha 4 - Michle; 9 480 000 Kč (cena včetně provize a kompletního právního servisu), lodžie, výtah, panelová stavba, družstevní vlastnictví, ve velmi dobrém stavu.",4+kk,109,50.0459,14.4528,"(50.0459, 14.4528)",9480000
"Byt 3+kk 87 m² k prodeji Za Ženskými domovy, Praha - Smíchov; 11 323 000 Kč (cena obsahuje DPH a sklep, cena neobsahuje parkovací stání, které je možné přikoupit za cenu od 500.tis + DPH), balkón, výtah, nízkoenergetický, skeletová stavba, osobní vlastnictví, ve výstavbě.",3+kk,87,50.0683,14.4042,"(50.0683, 14.4042)",11323000
"Byt 2+1 54 m² k prodeji Jasmínová, Praha 10 - Záběhlice; 4 490 000 Kč, balkón, výtah, panelová stavba, osobní vlastnictví, ve velmi dobrém stavu.",2+1,54,50.0566,14.5127,"(50.0567, 14.5128)",4490000
"Byt 2+1 59 m² k prodeji Nučická, Praha 10 - Strašnice; 4 100 000 Kč ( V případě více zájemců může RK využít pro výběr kupujícího formu aukce.), panelová stavba, družstevní vlastnictví, před rekonstrucí.",2+1,59,50.0677,14.4960,"(50.0678, 14.496)",4100000
"Byt 2+kk 54 m² k prodeji Praha 6 - Suchdol; 4 550 000 Kč (+ provize, včetně kompletního právního servisu), cihlová stavba, osobní vlastnictví, novostavby.",2+kk,54,50.1422,14.3828,"(50.1423, 14.3828)",4550000
"Byt 4+kk 115 m² k prodeji U Pergamenky, Praha 7 - Holešovice; 11 855 856 Kč (Uvedená cena nezahrnuje garážové stání, parkovací stání a případně komoru, sklep.), lodžie, parkovací místo, výtah, cihlová stavba, osobní vlastnictví, novostavby.",4+kk,115,50.1097,14.4463,"(50.1098, 14.4463)",11855856
